,word,count
409,family,704
410,throughout,703
411,hospitalize,700
412,assess,700
413,several,696
414,almost,696
415,shingle,691
416,tiredness,685
417,something,684
418,send,684
419,obtain,681
420,extremely,675
421,congestion,670
422,wife,667
423,water,667
424,happen,667
425,couple,667
426,brain,667
427,malaise,664
428,eat,664
429,acid,664
430,upon,663
431,stay,663
432,tender,662
433,appetite,662
434,small,660
435,respiratory,652
436,related,652
437,measure,650
438,underwent,648
439,level,646
440,do,638
441,swallow,636
442,put,636
443,knee,636
444,tenderness,633
445,bilateral,633
446,try,632
447,complete,630
448,mother,626
449,gender,626
450,less,618
451,associate,617
452,extremity,609
453,antibiotic,609
454,daily,605
455,bleed,605
456,sure,604
457,faint,603
458,afternoon,603
459,tired,597
460,asthma,597
461,seizure,595
462,medically,595
463,advise,593
464,staff,592
465,plan,591
466,contributory,590
467,moderate,589
468,contact,588
469,assessment,583
470,oral,582
471,discomfort,581
472,run,580
473,decrease,580
474,lung,579
475,complain,578
476,achy,578
477,keep,577
478,cardiac,575
479,anxiety,575
480,role,574
481,thing,573
482,smell,573
483,swab,572
484,provider,571
485,limited,571
486,new,568
487,life,568
488,nauseous,565
489,drop,562
490,transfer,555
491,lightheaded,555
492,anaphylactic,554
493,lump,550
494,short,547
495,transport,545
496,fell,545
497,fall,544
498,degree,537
499,end,536
500,epinephrine,532
501,turn,531
502,clear,531
503,failure,529
504,persist,528
505,attack,527
506,general,525
507,half,522
508,mention,520
509,deny,520
510,point,519
511,vaccinate,515
512,month,512
513,sinus,511
514,stand,509
515,early,509
516,spread,508
517,shoot,508
518,vertigo,507
519,speak,507
520,anaphylaxis,506
521,entire,505
522,perform,502
523,elbow,501
524,armpit,499
525,way,498
526,client,498
527,close,497
528,initial,494
529,vial,492
530,break,491
531,hip,490
532,detail,486
533,ambulance,485
534,cellulitis,484
535,em,482
536,drive,482
537,multiple,481
538,daughter,479
539,bump,479
540,diabetes,477
541,course,475
542,period,474
543,zoster,471
544,cramp,471
545,along,470
546,vitals,469
547,kind,469
548,center,469
549,progress,468
550,manufacturer,468
551,cancer,465
552,heat,464
553,primary,462
554,talk,459
555,needle,458
556,stable,457
557,prescribe,457
558,trouble,456
559,control,454
560,cheek,451
561,antibody,451
562,pulmonary,447
563,breast,447
564,syringe,446
565,arrive,446
566,itchiness,440
567,initially,439
568,observe,438
569,chronic,438
570,spot,435
571,sodium,433
572,link,432
573,lightheadedness,432
574,itching,432
575,race,431
576,previous,431
577,sudden,429
578,likely,427
579,kidney,427
580,heavy,426
581,warmth,425
582,jaw,425
583,release,424
584,syndrome,418
585,nothing,418
586,bruise,418
587,intense,417
588,clarify,416
589,recommend,414
590,confirm,413
591,syncope,409
592,erythema,408
593,people,407
594,floor,407
595,appointment,407
596,surgery,404
597,saw,403
598,near,401
599,twice,400
600,diagnosis,400
601,ice,399
602,nerve,397
603,everything,397
604,wrist,391
605,describe,391
606,big,390
607,axillary,390
608,applicable,389
609,reassess,388
610,intermittent,388
611,complaint,388
612,therapeutic,387
613,sat,387
614,atrial,385
615,disorder,384
616,lift,382
617,self,381
618,movement,381
619,live,378
620,hear,377
621,pen,375
622,wheeze,374
623,unit,374
624,scan,374
625,lay,373
626,fibrillation,373
627,location,371
628,distress,370
629,clot,370
630,believe,369
631,affect,368
632,vital,366
633,improvement,366
634,edema,362
635,unresponsive,357
636,thigh,357
637,order,357
638,arthritis,357
639,lack,354
640,welt,353
641,injury,353
642,bone,353
643,recent,351
644,range,347
645,influenza,346
646,beat,346
647,mental,345
648,deep,343
649,bathroom,343
650,question,342
651,generalize,342
652,unexpected,341
653,maybe,341
654,therapy,340
655,received,340
656,mar,340
657,name,338
658,hearing,338
659,cream,337
660,middle,336
661,unwell,335
662,nursing,335
663,slept,334
664,read,334
665,decline,334
666,causality,334
667,radiate,333
668,runny,329
669,though,327
670,consciousness,325
671,wonder,324
672,fully,324
673,cholesterol,324
674,count,323
675,overnight,322
676,except,322
677,sharp,321
678,abnormal,321
679,limit,320
680,yet,317
681,lower,316
682,platelet,315
683,lasting,313
684,suffer,312
685,thought,311
686,inappropriate,311
687,admission,311
688,status,310
689,person,310
690,might,310
691,sugar,308
692,local,308
693,already,308
694,medicine,307
695,lymphadenopathy,307
696,arthralgia,307
697,minor,306
698,systemic,305
699,strong,305
700,immune,305
701,aspirin,305
702,relief,304
703,probably,304
704,top,303
705,confusion,303
706,inform,302
707,speech,301
708,toe,299
709,shortly,299
710,evening,299
711,blister,299
712,stiffness,298
713,pack,298
714,fast,298
715,terrible,295
716,five,295
717,tablet,294
718,pharmacy,294
719,thyroid,293
720,possibly,293
721,physical,293
722,penicillin,293
723,breathing,293
724,drink,292
725,apply,292
726,color,291
727,tight,290
728,throw,289
729,diameter,289
730,bring,289
731,strength,287
732,expire,287
733,abdomen,287
734,calcium,285
735,weird,283
736,ring,283
737,immediate,283
738,flash,283
739,ankle,283
740,saturation,282
741,hit,282
742,company,282
743,pretty,281
744,aes,281
745,pound,279
746,inject,279
747,heartbeat,279
748,illness,277
749,upset,274
750,fog,274
751,inside,273
752,asleep,273
753,across,273
754,difficult,272
755,air,272
756,voice,271
757,shiver,271
758,sound,269
759,indication,269
760,activity,269
761,stiff,268
762,instead,268
763,exam,268
764,criterion,267
